,State,District,Crop,Area (Hectare),TotalDistrictArea,TopTwoCropArea,TopTwoCropAreaPercent
194,Haryana, PANIPAT,Rice,76905.0,83643.0,82732.0,0.9891084729146492
195,Haryana, PANIPAT,Sugarcane,5827.0,83643.0,82732.0,0.9891084729146492
196,Haryana, REWARI,Bajra,66706.0,71152.0,69452.0,0.9761074881942883
197,Haryana, REWARI,Rice,2746.0,71152.0,69452.0,0.9761074881942883
198,Haryana, ROHTAK,Rice,39340.0,95704.0,62093.0,0.6488025578868177
199,Haryana, ROHTAK,Bajra,22753.0,95704.0,62093.0,0.6488025578868177
200,Haryana, SIRSA,Rice,61372.0,72988.0,66885.0,0.9163835150983723
201,Haryana, SIRSA,Bajra,5513.0,72988.0,66885.0,0.9163835150983723
202,Haryana, SONIPAT,Rice,93752.0,125910.0,107053.0,0.850234294337225
203,Haryana, SONIPAT,Bajra,13301.0,125910.0,107053.0,0.850234294337225
204,Haryana, YAMUNANAGAR,Rice,74578.0,103430.0,99969.0,0.9665377550033839
205,Haryana, YAMUNANAGAR,Sugarcane,25391.0,103430.0,99969.0,0.9665377550033839
206,Madhya Pradesh, ALIRAJPUR,Urad,53651.0,171377.0,92119.0,0.5375225380301908
207,Madhya Pradesh, ALIRAJPUR,Maize,38468.0,171377.0,92119.0,0.5375225380301908
208,Madhya Pradesh, ANUPPUR,Rice,97568.0,149189.0,112663.0,0.7551696170629202
209,Madhya Pradesh, ANUPPUR,Small millets,15095.0,149189.0,112663.0,0.7551696170629202
210,Madhya Pradesh, ASHOKNAGAR,Soyabean,65780.0,122802.0,111975.0,0.9118336834904969
211,Madhya Pradesh, ASHOKNAGAR,Urad,46195.0,122802.0,111975.0,0.9118336834904969
212,Madhya Pradesh, BALAGHAT,Rice,247865.0,273008.0,258354.0,0.9463239172478463
213,Madhya Pradesh, BALAGHAT,Small millets,10489.0,273008.0,258354.0,0.9463239172478463
214,Madhya Pradesh, BARWANI,Jowar,43500.0,154629.0,76678.0,0.4958836958138512
215,Madhya Pradesh, BARWANI,Maize,33178.0,154629.0,76678.0,0.4958836958138512
216,Madhya Pradesh, BETUL,Soyabean,229015.0,443968.0,277523.0,0.6250968538273028
217,Madhya Pradesh, BETUL,Maize,48508.0,443968.0,277523.0,0.6250968538273028
218,Madhya Pradesh, BHIND,Bajra,35363.0,63457.0,44746.0,0.7051389129646848
219,Madhya Pradesh, BHIND,Sesamum,9383.0,63457.0,44746.0,0.7051389129646848
220,Madhya Pradesh, BHOPAL,Soyabean,106792.0,114024.0,109474.0,0.9600961201150635
221,Madhya Pradesh, BHOPAL,Maize,2682.0,114024.0,109474.0,0.9600961201150635
222,Madhya Pradesh, BURHANPUR,Soyabean,15113.0,42428.0,26247.0,0.6186244932591685
223,Madhya Pradesh, BURHANPUR,Jowar,11134.0,42428.0,26247.0,0.6186244932591685
224,Madhya Pradesh, CHHATARPUR,Sesamum,76417.0,242276.0,138574.0,0.5719675081312222
225,Madhya Pradesh, CHHATARPUR,Urad,62157.0,242276.0,138574.0,0.5719675081312222
226,Madhya Pradesh, CHHINDWARA,Soyabean,161561.0,420226.0,255940.0,0.6090532237415105
227,Madhya Pradesh, CHHINDWARA,Maize,94379.0,420226.0,255940.0,0.6090532237415105
228,Madhya Pradesh, DAMOH,Arhar/Tur,63818.0,205095.0,125928.0,0.6139983909895415
229,Madhya Pradesh, DAMOH,Soyabean,62110.0,205095.0,125928.0,0.6139983909895415
230,Madhya Pradesh, DATIA,Sesamum,41355.0,77369.0,47102.0,0.6087968049218679
231,Madhya Pradesh, DATIA,Rice,5747.0,77369.0,47102.0,0.6087968049218679
232,Madhya Pradesh, DEWAS,Soyabean,321639.0,353318.0,331354.0,0.9378350381242959
233,Madhya Pradesh, DEWAS,Maize,9715.0,353318.0,331354.0,0.9378350381242959
234,Madhya Pradesh, DHAR,Soyabean,267948.0,371838.0,328715.0,0.8840274528154735
235,Madhya Pradesh, DHAR,Maize,60767.0,371838.0,328715.0,0.8840274528154735
236,Madhya Pradesh, DINDORI,Rice,78412.0,180308.0,120568.0,0.6686780397985669
237,Madhya Pradesh, DINDORI,Small millets,42156.0,180308.0,120568.0,0.6686780397985669
